track_id,description
track_1221576,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_0963306,"Olga Scotland has created more than a hundred soundscapes and soundtracks. Some track was included into albums, and others will remain inside the casual game worlds, which created by Animuba Studio. Olga has been working as a composer and sound designer for Animuba Studio since 2005. This music is a journey through magic worlds. It will take you to distant planets and remote epochs, stopping for a cup of tea at a cosy table once in a while, which can be quite magical too"
track_1393234,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_0975397,"Инструментальная и вокальная музыка, на стыке жанров, созданная на компьютере. (Автор шаржа (1978) - Валерий Рюмин). Instrumental and vocal music, with combined genres, created on the computer. (Caricature (1978) by Valery Ryumin). А short interview for the site Creative People"
track_1235132,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1420813,"Author and Composer specializing in composing of classical music music intended for piano, harpsichord, guitar. The music, he creates represents both strictly classical style ( from Baroque music to music of the 21st century ) and pop-classical style. Here you'll find music for solo instruments and music for the orchestra"
track_1170202,"Yet another amateur that makes (lovely?) noise. All my songs are from personal work, free, open to downloads and licensed CC-BY to enable the creation of derivative works, reuse, mix, remastering, etc. Be free, share, reuse and broadcast! If you like, you can me a beer"
track_1235124,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1151549,"Serge Ozeryan is a Ukrainian musician who writes intense Rock instrumentals with bone-crunching lead guitar work. As lead guitarist for the band Death Valley Screamers, he's been gaining quite a reputation as being one of Ukraine's most formidable and exciting players. Many of Serge's tracks have an edgy cinematic quality making them suitable for everything from Film and TV scores to action-packed Video Games and Commercial campaigns. He also brings us tracks in the Soft Rock, Blues, Folk, Dance, Alternative Rock, and Pop genres"
track_1094731,"Инструментальная и вокальная музыка, на стыке жанров, созданная на компьютере. (Автор шаржа (1978) - Валерий Рюмин). Instrumental and vocal music, with combined genres, created on the computer. (Caricature (1978) by Valery Ryumin). А short interview for the site Creative People"
