track_id,lyrics
1214935,"There's not a single day that passes,
without you on my mind.
Not even one minute can end up,
before you come around.
I aim for the days when I see your face here before me.
I long for the days when you held me in your arms.
How I wish that you were here
to give me everything I want.
But I know that live's unfair
and we can't always have it all..
I wish that you were here."
0141084,"GUITARRA Y FUSILES
LéYàK © - Los revolveros
Bajo la luna
Solo en las calles
El mariachi anda
Con su guitarra
Y sus fusiles
El pelo largo
El pelo negro
Busca, el solitario
Busca su amigo
Su amigo Marco
Si no encuentra a su amigo
Va a matar la gente en las calles
Si no encuentra el pobre Marco
Van a gritar… sus fusiles
En su sangre
Hay violencia
En sus ojos
Hay tanta ira
Y tontería
Mariachi guapo
Y muy varonil
Buscando Marco
Hombre guapo
Pero estúpido
Si no encuentra a su amigo
Va a matar la gente en las calles
Si no encuentra el pobre Marco
Van a gritar… sus fusiles
En el silencio
Un dedo muestra
Una basura
Y al fundo
El pobre Marco
Mariachi triste
Y tantas peinas
Tantas lagrimas
Pequeño cuerpo
El perro: muerto
Muere la gente en las calles
Porque gritan… los fusiles
Un mariachi desesperado…
Porque han matado… su perro"
0074552,"It was never supposed to happen,
It’s so incredible…
You weren’t going to do it again.
It was never supposed to happen,
And now’s my destiny,
I’m tired of being the same fool.
Show me your secret to win,
Show me how stupid I’ll be,
If I am always making just the same mistake,
The same…, oh, the same fool.
There’s a fire in my hands and in my eyes,
There’s another strange thing into my mind,
Now I am strong enough, oh, to face,
Every mountain, every wall I have to break.
YOU CAN NOT, CAN NOT,
YOU CAN NOT, CAN NOT,
YOU CAN NOT, CAN NOT,
YOU CAN NOT DO IT (AGAIN)
Hey you, please come here,
There’s something I want to show,
There is a monster in me,
And is so angry, so hungry
That you must go running,
You never thought that I would catch you,
And you’re trying to hide well
but you can not, you can not…"
0037999,"Ce chant c'est une lueur d'espoir
Une image dans le temps il n'est jamais trop tard
Pour oublier que l'on existe
pour effacer les âmes tristes
Pour se rappeler ce dont on ne se souvient pas
ce qu'on a préferé laisser bien caché au fond de soi
Et rechercher cette flamme qui nous permet de vivre
celle qui nous permet d'aimer
Juste avant de partir...
Vivre nos futurs
ou bien partir loin d'ici
que reste-t-il de ces heures
à sauver des vies ?
J'aimerais connaître mes erreurs
mais je n'ai plus le temps à ça
Espérer une lueur,
mais au fond pourquoi ?
Avons-nous jamais cru un jour
pouvoir changer le monde autour de nous,
jamais cru une fois pouvoir penser
à ce que voulait dire ""espérer""
Mais on a jamais temps, on est jamais roi
jamais content, jamais, mais pourquoi ?
Pourquoi vouloir toujours tout se dire ?
Pourquoi vouloir parler d'avenir ?
Longtemps j'ai cru que tout pouvait changer
que même un fou pouvait s'en aller
Mais on a plus droit, on est tous frères
et l'on est plus rien dans cette affaire...
Juste avant de partir
J'aimerais pouvoir vous dire
Juste avant de partir
De ne plus y revenir
Se regarder dans une glace
et ne même plus voir que rien n'y passe
On a bien changé
les yeux ouverts, hallucinés
Mais le sang coule encore ici
Jamais un monde sourd n'a sauvé de vie
Si ce n'est celle de celui qui attend
Que son propre sort soit scellé à temps
Mais on a tant cru bon de rester
ne serait-ce qu'un pion du damier
Où il n'est que noir et blanc
Où cette ombre cache les sentiments
Mais il est temps pour moi de partir
Je ne garderai qu'un souvenir
De ce monde où il fait si bon
Se poser de simples questions"
1203659,"Its all about you.
============
You wanted a ride,
I gave you my car.
You wanted a light
I found you a star
When You wanted me closer
I moved next door
I gave what I had
But you wanted more
Chorus
It’s all about you
It’s all about you
You know that it’s true
Its all about you
You tell me to leave
Like You put out the trash
You waste all my love
Like you spend all my cash
I tell you I love you
But You don’t hear
You speak when I talk
Like Im not even there
Repeat Chorus
Repeat Chorus"
0801447,Yes
0405785,"i met a girl in a dream
who is the one i love
ever changing colour of hair
with a constant angel face
she came closer and we hanged out
like since ever
then she got angry because of
her potential but fake lover
so i told her to enjoy life
and pull the best out of it
she asked do you know anything
about the world of Dylith
i said no she said it's wonderful
and broke into tears
i've never what and where it was
but i felt the need to talk bout it
to create aplace for anyone
to lay their hopes and joys
that can't be settled down
in our horrible but real world
because we are all in love
with our king or queen of Dylith
i met a girl in a dream
who is the one i love
ever changing colour of hair
with a constant angel face
she came closer and we hanged out
like since ever"
0047662,"Et que je ronchonne, que je te grille priorité.
Et que la vieillesse me donne le droit de marmonner.
Et que je lève la tête quand tu passes. Que je te fusille du regard.
La vieillesse , la vieillesse, m’a rendu hagard
Et que je te bouscule dans le supermarché.
Et que la vieillesse m’a donnée un laissez-passer.
Et que j’observe avec dédain ce que t’as mis dans ton cadi
La vieillesse, la vieillesse, m’a aigri
Et vous les jeunes, vous ne dites jamais bonsoir.
Vous crachez, vous fumez, surtout quand vous êtes noirs !
Vous les noirs, vous les gris, vous n’avez rien à faire ici !
La vieillesse, la vieillesse, ……..Me vieillit…
Et que je te reproche sans arrêt d’faire la fête !
Et que bande de sales gosses, moi la guerre, je l’ai faite !
A votre âge, de mon temps on était pas des rêveurs ! (nanananaan)
La vieillesse, la vieillesse m’a rendu râleur…
Et que je passe en force au rayon cosmétique.
Et que plus je suis vieux, plus j’suis antipathique.
Moi les jeunes ils m’font peur ‘vec leurs cheveux et leurs chaussures
La vieillesse, la vieillesse………… C’est dur."
0301954,"Once I had a dream that I was standing in Osaka
There was a geisha and a refugee
And deep down in her pocket was a tarnished silver locket
And a picture frame that had always been empty
She takes that refugee to town and keeps her eyes down on the ground
As if she's waiting for the earth to open up
And pull the geisha and that man into the cauldrons of Japan
Beneath the streets that only serve to keep the gravity at bay
She talks, I sleepwalk
And I did not hear a thing
Once I had this dream there were two starcrossed teenage lovers
Trying to keep their secret safe from everyone
Because if their parents ever learned this, they would slash and they would burn this
And everything they know would be undone
So they hid beneath the bleachers, out of view from all the teachers
As the marching band played Hail to the Team
It was the last game of the season, they were shaking, they were freezing
There was nothing but their bodies in between
She talks, I sleepwalk
And I did not hear a thing
Once I had this dream that I could see inside your mind
And all the mysteries unraveled like a thread
Once I had this dream that I could see inside my own mind
Past denial and the walls inside my head
And it all was making sense as I let go of my defenses
And I saw the world for what it really was
And I opened up my eyes to see the end of the disguise
But I went blind before I even saw a thing
She talks, I sleepwalk
And I did not hear a thing
She talks, I sleepwalk
And I did not hear a thing"
0421665,"Last sunshine left to end the day
Turns to night I feel so stupid
Another day I leave you incomplete
I guess I never meant to fake
That beautiful drugged love
Anemic fever idol is dead
Hey stay, make sense to what I say
Never hide from them but I got to runaway
Runaway uuuuhhh…
Don't move or they will shoot to kill
Another day that ends without you,
Another fevered fantasy, oh no
In my emotional state of delight
Many assured hands attempt to keep my balance
At least if I fail I will on their side
Who stops the insane, who invites the sane?
Who assumes the role of judgment?
How did distrust gain human trust?
Why does fear answer along all my questions?
When did you begin to stand so alone?
Where is hidden the antidote of this world?
So if you want me to stay please don't shine upon you
The world will end but we still remain apart"
